Same Suit,2,3,4,5,6,7,8,9,10,11,12,13,14,
2,N/A,41.400,39.600,41.200,41.100,42.600,44.500,45.100,46.600,51.400,53.300,57.000,57.800,
3,39.400,N/A,40.100,42.300,44.100,42.700,43.200,44.700,48.000,50.900,52.000,54.100,57.200,
4,41.200,38.600,N/A,45.700,45.500,46.500,45.200,46.500,48.100,50.500,55.900,57.200,59.200,
5,39.600,42.500,45.400,N/A,44.900,47.400,44.300,47.000,52.700,51.700,54.500,58.900,61.200,
6,41.400,41.500,45.000,43.800,N/A,47.500,47.600,51.200,49.900,54.800,56.000,58.300,63.200,
7,39.700,40.900,44.800,48.100,46.600,N/A,51.300,49.800,53.200,54.600,55.700,59.400,62.100,
8,43.600,43.600,45.400,47.300,52.100,49.100,N/A,52.600,56.500,54.900,57.800,58.300,62.700,
9,43.400,46.200,42.200,50.900,48.600,52.400,53.000,N/A,56.500,57.100,59.300,59.900,63.800,
10,48.900,47.100,49.200,49.600,49.200,54.900,53.700,54.400,N/A,59.000,61.200,64.400,65.600,
11,49.000,48.600,49.700,54.100,50.400,54.600,57.000,57.000,58.900,N/A,60.800,61.400,67.300,
12,51.600,53.300,55.000,56.100,52.400,54.500,56.800,56.500,62.700,61.600,N/A,63.200,68.700,
13,54.500,54.100,58.200,57.600,57.900,58.500,62.300,62.300,62.600,65.900,66.300,N/A,66.000,
14,58.100,61.700,59.300,62.200,61.900,61.600,65.300,64.700,64.600,65.200,67.800,66.600,N/A,
Diff Suits,2,3,4,5,6,7,8,9,10,11,12,13,14,
2,52.000,35.100,37.600,38.000,38.400,37.300,42.600,41.900,44.800,45.100,51.900,50.800,53.400,
3,35.400,55.300,37.400,41.200,39.300,43.100,38.700,40.000,44.800,46.900,50.300,51.600,57.700,
4,36.100,35.700,57.000,42.600,39.200,40.500,40.300,40.800,45.900,50.900,52.200,52.300,58.400,
5,37.000,38.900,42.400,59.400,43.300,45.100,46.500,46.000,46.200,51.700,51.900,52.700,60.500,
6,36.600,40.600,40.200,42.500,62.700,43.800,48.200,46.000,47.700,50.600,52.600,56.200,60.900,
7,37.000,37.800,40.800,43.100,46.700,68.400,47.800,51.600,51.000,54.200,52.800,56.500,61.300,
8,42.200,40.700,43.600,44.800,46.500,47.000,68.700,48.300,50.300,55.500,52.700,58.500,62.700,
9,40.900,42.700,44.500,44.700,46.600,50.100,49.100,69.900,53.100,52.900,61.300,61.300,62.200,
10,45.900,44.600,44.600,46.700,47.200,49.400,53.900,53.000,73.200,58.800,57.000,63.400,65.600,
11,46.400,47.700,49.000,47.600,49.400,50.200,52.600,52.500,58.400,76.000,58.400,60.100,66.600,
12,51.300,50.500,51.100,50.700,53.400,55.300,54.900,57.100,61.200,59.400,76.500,63.200,63.700,
13,52.600,55.700,56.900,52.800,57.300,55.600,57.100,59.700,60.900,64.900,62.100,83.000,67.300,
14,54.500,57.900,58.500,60.600,60.800,57.900,61.200,61.400,64.100,62.400,63.000,64.400,85.700,
